
 UAE Trade Oil |  date and time: Wed Jul 29, 2020 8:13 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":29954604,"poolName":"Retention Finq External BI HCMC","date":"2020-07-29T07:13:57.572Z"}
 UAE-Testimonial |  date and time: Sun Oct 11, 2020 8:51 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30187328,"poolName":"Sales Finq Internal MISC Desk","date":"2020-10-11T07:52:21.120Z"}
 UAE-Testimonial |  date and time: Sun Oct 11, 2020 11:27 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30187554,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-10-11T10:27:19.766Z"}
 UAE-Testimonial |  date and time: Sun Oct 11, 2020 11:29 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30187559,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-10-11T10:30:28.045Z"}
 UAE-Testimonial |  date and time: Sun Oct 11, 2020 11:31 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30187560,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-10-11T10:32:40.992Z"}
 UAE-Testimonial |  date and time: Sun Oct 11, 2020 12:08 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30187599,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-10-11T11:09:32.190Z"}
 UAE-Testimonial |  date and time: Sun Oct 11, 2020 12:47 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30187650,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-10-11T11:48:07.512Z"}
 UAE-Testimonial |  date and time: Sun Oct 11, 2020 12:52 | lead api response: {"resultStatus":"DUPLICATE","statusCode":400,"msg":"Customer already exist","leadId":465771,"poolName":"Sales Finq External BI TDA 6","date":"2011-05-12T09:24:27.000Z"}
 UAE-Testimonial |  date and time: Sun Oct 11, 2020 14:07 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30187774,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-10-11T13:08:31.609Z"}
 UAE-Testimonial |  date and time: Sun Oct 11, 2020 14:09 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30187777,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-10-11T13:10:12.287Z"}
 UAE-Testimonial |  date and time: Mon Oct 12, 2020 7:53 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30188898,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-10-12T06:54:05.838Z"}
 LP FIO 1 |  date and time: Mon Oct 12, 2020 15:20 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30189953,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-10-12T14:21:08.800Z"}
 LP FIO 1 |  date and time: Mon Oct 12, 2020 15:59 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30190097,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-10-12T15:00:34.199Z"}
 UAE-Testimonial |  date and time: Mon Oct 12, 2020 16:11 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30190127,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-10-12T15:12:31.463Z"}
 UAE-Testimonial |  date and time: Mon Oct 12, 2020 18:12 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30190410,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-10-12T17:13:33.915Z"}
 UAE-Testimonial |  date and time: Mon Oct 12, 2020 18:27 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30190435,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-10-12T17:28:35.131Z"}
 UAE-Testimonial |  date and time: Mon Oct 12, 2020 21:04 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30190708,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-10-12T20:05:10.069Z"}
 UAE-Testimonial |  date and time: Mon Oct 12, 2020 21:14 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30190727,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-10-12T20:15:16.662Z"}
 UAE-Testimonial |  date and time: Tue Oct 13, 2020 5:12 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30191223,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-10-13T04:13:13.020Z"}
 UAE-Testimonial |  date and time: Tue Oct 13, 2020 6:49 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30191399,"poolName":"Sales Finq Internal Disqualified Leads","date":"2020-10-13T05:50:38.525Z"}
 finq.com uae-testimonial |  date and time: Tue Oct 13, 2020 17:16 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30193138,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-10-13T16:17:18.411Z"}
 finq.com uae-testimonial |  date and time: Wed Oct 14, 2020 10:41 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30195117,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-10-14T09:42:37.230Z"}
 finq.com uae-testimonial |  date and time: Thu Oct 15, 2020 5:54 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30197140,"poolName":"Sales Finq External BI CORE GCC CY","date":"2020-10-15T04:55:19.307Z"}
 finq.com uae-testimonial |  date and time: Tue Oct 20, 2020 14:58 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30208476,"poolName":"Sales Finq External BI CORE GCC CY","date":"2020-10-20T13:59:25.082Z"}
 finq.com uae-testimonial |  date and time: Tue Oct 20, 2020 16:58 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30208850,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-10-20T15:59:14.356Z"}
 finq.com uae-testimonial |  date and time: Tue Oct 20, 2020 22:14 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30209434,"poolName":"Sales Finq External BI CORE GCC CY","date":"2020-10-20T21:15:28.329Z"}
 finq.com uae-testimonial |  date and time: Tue Oct 20, 2020 22:35 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30209461,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-10-20T21:35:59.495Z"}
 finq.com uae-testimonial |  date and time: Wed Oct 21, 2020 0:14 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30209602,"poolName":"Sales Finq External BI CORE GCC CY","date":"2020-10-20T23:15:04.079Z"}
 finq.com uae-testimonial |  date and time: Wed Oct 21, 2020 5:45 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30209981,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-10-21T04:46:28.072Z"}
 finq.com uae-testimonial |  date and time: Thu Oct 22, 2020 10:59 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30213454,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-10-22T09:59:59.591Z"}
 finq.com uae-testimonial |  date and time: Mon Oct 26, 2020 23:58 | lead api response: {"resultStatus":"DUPLICATE","statusCode":400,"msg":"Customer already exist","leadId":30056374,"poolName":"Sales Finq External BI CORE GCC CY","date":"2020-09-09T07:43:37.137Z"}
 finq.com uae-testimonial |  date and time: Wed Oct 28, 2020 9:43 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30227524,"poolName":"Sales Finq External BI Ocean Plus English Desk","date":"2020-10-28T09:44:05.921Z"}
 finq.com uae-testimonial |  date and time: Thu Nov 05, 2020 10:45 | lead api response: {"resultStatus":"OK","statusCode":200,"msg":"Lead was created successfully","leadId":30260855,"poolName":"Sales Finq External BI Core GCC Lb","date":"2020-11-05T10:46:15.323Z"}
